Season,Country,ILI_CASES,REL,B_REL,H3_REL,H1pdm_REL,H3_REL_LAG1,H1pdm_REL_LAG1,B_REL_LAG1,H3_REL_LAG2,H1pdm_REL_LAG2,B_REL_LAG2,H3_REL_LAG3,H1pdm_REL_LAG3,B_REL_LAG3
2018,Estonia,5197,0.103012884043608,0.0221299793017017,0.123428431975638,0.884570429158736,0.227527117998523,0.206062295545832,0.665915046316894,1.15955417788958,0.206062295545832,0.751132783254378,1.15955417788958,0.893021014499293,1.17061608610468
2019,Estonia,3314,0.0656888007928642,0.209535705073128,0.138466188979088,0.308886113876426,0.123428431975638,0.884570429158736,0.0221299793017017,0.350955549974161,1.09063272470457,0.688045025618596,1.28298260986522,1.09063272470457,0.77326276255608
2010,Hungary,109757,0.111885395885938,0.215094702914808,0.00183318307493828,0.901926072869635,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,Hungary,75874,0.0773453404106314,0.395826153866173,0.377627250240142,0,0.00183318307493828,0.901926072869635,0.215094702914808,NA,NA,NA,NA,NA,NA
2012,Hungary,75207,0.0766654060186936,0.244862893747919,0.231581472745407,0.290209693693611,0.377627250240142,0,0.395826153866173,0.37946043331508,0.901926072869635,0.610920856780981,NA,NA,NA
2013,Hungary,62965,0.0641860104773099,0.0401162565483187,0.218410730096402,0.383333118128378,0.231581472745407,0.290209693693611,0.244862893747919,0.609208722985549,0.290209693693611,0.640689047614092,0.611041906060487,1.19213576656325,0.8557837505289
2014,Hungary,138654,0.141342763387929,0.151855861491163,1.13072764119617,0.130844131191957,0.218410730096402,0.383333118128378,0.0401162565483187,0.449992202841809,0.673542811821989,0.284979150296238,0.82761945308195,0.673542811821989,0.68080530416241
2015,Hungary,87811,0.0895138214249672,0.547548009969005,0.119484132721479,0.228106071559187,1.13072764119617,0.130844131191957,0.151855861491163,1.34913837129257,0.514177249320335,0.191972118039482,1.58071984403797,0.804386943013946,0.436835011787401
2016,Hungary,130041,0.13256274102247,0.116081967814271,0.913296829316674,0.29624861309376,0.119484132721479,0.228106071559187,0.547548009969005,1.25021177391764,0.358950202751144,0.699403871460169,1.46862250401405,0.742283320879523,0.739520128008487
2017,Hungary,122089,0.124456536697598,0.969791195046221,0.0315314623525957,0.243242709577167,0.913296829316674,0.29624861309376,0.116081967814271,1.03278096203815,0.524354684652947,0.663629977783277,2.16350860323432,0.655198815844904,0.81548583927444
2018,Hungary,105166,0.107205367709946,0.0114048263521219,0.464547752459107,0.594045577259655,0.0315314623525957,0.243242709577167,0.969791195046221,0.944828291669269,0.539491322670927,1.08587316286049,1.06431242439075,0.767597394230114,1.6334211728295
2019,Hungary,73413,0.074836616964516,0.189746578490921,0.139150728482464,0.419468862671775,0.464547752459107,0.594045577259655,0.0114048263521219,0.496079214811703,0.837288286836821,0.981196021398343,1.40937604412838,1.13353689993058,1.09727798921261
2010,Iceland,2240,0.100017860332202,0.812225577194394,0.021686887630111,0.166266138497518,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,Iceland,2385,0.106492230755492,0,1.06492230755492,0,0.021686887630111,0.166266138497518,0.812225577194394,NA,NA,NA,NA,NA,NA
2012,Iceland,3168,0.141453831041257,0.355066296540808,0.462421486717511,0.597050527154254,1.06492230755492,0,0,1.08660919518503,0.166266138497518,0.812225577194394,NA,NA,NA
2013,Iceland,1318,0.0588497946061797,0.0524005020465984,0.0524005020465984,0.4836969419686,0.462421486717511,0.597050527154254,0.355066296540808,1.52734379427243,0.597050527154254,0.355066296540808,1.54903068190254,0.763316665651772,1.1672918737352
