Season,Country,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,Region,H3_FINAL,H1_FINAL,H1pdm_FINAL,H3_PROP,H1_PROP,H1pdm_PROP,B_PROP,IS_H1_DOM,IS_H3_DOM,IS_H1pdm_DOM,IS_B_DOM,Y_SINCE_LAST_H3,Y_SINCE_LAST_H1,Y_SINCE_LAST_H1pdm,Y_SINCE_LAST_B
2015,South Africa,6994,6994,0,388,309,4,701,25,0,145,170,871,Southern Africa,310.77331420373,0,390.22668579627,0.356800590360195,0,0.448021453267818,0.195177956371986,0,1,1,0,1,NA,2,3
2016,South Africa,7388,7388,0,248,279,2,529,14,221,218,453,982,Southern Africa,280.058823529412,0,248.941176470588,0.285192284653169,0,0.253504253025039,0.461303462321792,0,1,1,1,1,NA,1,4
2017,South Africa,7325,7265,0,79,811,0,890,223,2,95,320,1210,Southern Africa,811,0,79,0.670247933884297,0,0.0652892561983471,0.264462809917355,0,1,0,1,1,NA,1,1
2018,South Africa,7385,7385,0,645,31,7,683,107,331,39,477,1160,Southern Africa,31.3210059171598,0,651.67899408284,0.0270008671699653,0,0.561792236278311,0.411206896551724,0,0,1,1,1,NA,2,1
2019,South Africa,7509,7509,0,89,1044,25,1158,3,3,0,6,1164,Southern Africa,1067.03618711386,0,90.963812886143,0.916697755252455,0,0.0781476055722878,0.00515463917525773,0,1,0,0,2,NA,1,1
2002,Spain,0,384,15,0,1,5,21,0,0,77,77,98,South West Europe,1.3125,19.6875,0,0.0133928571428571,0.200892857142857,0,0.785714285714286,1,0,0,1,NA,NA,NA,NA
2003,Spain,0,284,0,0,114,49,163,0,0,0,0,163,South West Europe,163,0,0,1,0,0,0,0,1,0,0,>1,1,NA,1
2004,Spain,0,298,3,0,41,19,63,0,0,6,6,69,South West Europe,58.7045454545455,4.29545454545454,0,0.850790513833992,0.0622529644268775,0,0.0869565217391304,0,1,0,0,1,2,NA,2
2005,Spain,0,960,104,0,17,241,362,0,0,305,305,667,South West Europe,50.8595041322314,311.140495867769,0,0.0762511306330306,0.466477505049128,0,0.457271364317841,1,0,0,1,1,3,NA,3
2006,Spain,0,125,1,0,18,29,48,0,0,2,2,50,South West Europe,45.4736842105263,2.52631578947368,0,0.909473684210526,0.0505263157894737,0,0.04,0,1,0,0,2,1,NA,1
